img_path,expression,label,bbox,landmarks
../Dataset/RAF/Train/Anger/train_04022.jpg,Anger,5,"[199, 214, 380, 462]","[(340, 290), (255, 280), (297, 321), (327, 391), (257, 383)]"
../Dataset/RAF/Train/Anger/train_07667.jpg,Anger,5,"[325, 285, 646, 665]","[(552, 421), (402, 421), (467, 509), (548, 580), (422, 576)]"
../Dataset/RAF/Train/Anger/train_07041.jpg,Anger,5,"[186, 158, 353, 386]","[(286, 227), (215, 239), (241, 268), (289, 318), (233, 324)]"
../Dataset/RAF/Train/Anger/train_06368.jpg,Anger,5,"[116, 87, 268, 277]","[(220, 155), (146, 155), (173, 191), (210, 234), (148, 233)]"
../Dataset/RAF/Train/Anger/train_05532.jpg,Anger,5,"[77, 61, 153, 169]","[(125, 97), (92, 100), (104, 121), (125, 141), (99, 143)]"
../Dataset/RAF/Train/Anger/train_05262.jpg,Anger,5,"[419, 341, 931, 952]","[(766, 603), (546, 628), (654, 698), (763, 803), (579, 822)]"
../Dataset/RAF/Train/Anger/train_01352.jpg,Anger,5,"[143, 316, 291, 525]","[(210, 398), (160, 397), (158, 441), (214, 479), (163, 477)]"
../Dataset/RAF/Train/Anger/train_08417.jpg,Anger,5,"[187, 146, 398, 425]","[(349, 256), (250, 262), (302, 326), (343, 343), (257, 349)]"
../Dataset/RAF/Train/Anger/train_00629.jpg,Anger,5,"[399, 308, 819, 918]","[(689, 539), (509, 555), (604, 672), (687, 757), (550, 770)]"
../Dataset/RAF/Train/Anger/train_06407.jpg,Anger,5,"[49, 44, 111, 131]","[(103, 84), (73, 80), (91, 102), (93, 115), (67, 112)]"
../Dataset/RAF/Train/Anger/train_01128.jpg,Anger,5,"[268, 227, 428, 415]","[(355, 297), (297, 312), (318, 349), (377, 368), (325, 379)]"
../Dataset/RAF/Train/Anger/train_05798.jpg,Anger,5,"[173, 178, 320, 340]","[(298, 236), (229, 244), (274, 273), (296, 300), (243, 310)]"
../Dataset/RAF/Train/Anger/train_04445.jpg,Anger,5,"[73, 57, 166, 173]","[(149, 98), (107, 95), (128, 121), (139, 146), (105, 142)]"
../Dataset/RAF/Train/Anger/train_08910.jpg,Anger,5,"[179, 140, 338, 374]","[(300, 237), (223, 235), (255, 282), (279, 328), (229, 326)]"
../Dataset/RAF/Train/Anger/train_02849.jpg,Anger,5,"[250, 224, 562, 667]","[(521, 406), (370, 400), (457, 504), (493, 568), (369, 568)]"
../Dataset/RAF/Train/Anger/train_03964.jpg,Anger,5,"[57, 60, 136, 168]","[(128, 98), (100, 104), (130, 123), (131, 140), (108, 147)]"
../Dataset/RAF/Train/Anger/train_07835.jpg,Anger,5,"[231, 160, 484, 510]","[(405, 308), (294, 309), (339, 391), (402, 425), (300, 426)]"
../Dataset/RAF/Train/Anger/train_07769.jpg,Anger,5,"[77, 70, 162, 189]","[(142, 111), (102, 108), (121, 133), (133, 159), (102, 155)]"
../Dataset/RAF/Train/Anger/train_05016.jpg,Anger,5,"[352, 290, 775, 805]","[(665, 500), (461, 499), (554, 610), (628, 697), (477, 693)]"
../Dataset/RAF/Train/Anger/train_08104.jpg,Anger,5,"[303, 257, 646, 742]","[(557, 423), (399, 434), (487, 504), (564, 601), (423, 612)]"
../Dataset/RAF/Train/Anger/train_00915.jpg,Anger,5,"[197, 171, 380, 411]","[(310, 249), (235, 278), (277, 315), (334, 346), (277, 364)]"
../Dataset/RAF/Train/Anger/train_07039.jpg,Anger,5,"[113, 102, 234, 256]","[(164, 160), (125, 173), (132, 201), (181, 220), (146, 232)]"
../Dataset/RAF/Train/Anger/train_08444.jpg,Anger,5,"[50, 43, 98, 101]","[(96, 62), (77, 60), (92, 72), (94, 87), (78, 86)]"
../Dataset/RAF/Train/Anger/train_03901.jpg,Anger,5,"[243, 229, 648, 724]","[(575, 420), (404, 477), (539, 555), (602, 585), (442, 642)]"
../Dataset/RAF/Train/Anger/train_07620.jpg,Anger,5,"[271, 135, 774, 748]","[(617, 379), (379, 385), (480, 550), (623, 614), (416, 624)]"
../Dataset/RAF/Train/Anger/train_03985.jpg,Anger,5,"[74, 62, 150, 161]","[(133, 100), (97, 100), (116, 125), (129, 137), (99, 138)]"
../Dataset/RAF/Train/Anger/train_04654.jpg,Anger,5,"[64, 56, 136, 152]","[(122, 94), (87, 94), (106, 116), (116, 131), (93, 132)]"
../Dataset/RAF/Train/Anger/train_07632.jpg,Anger,5,"[80, 73, 167, 184]","[(146, 115), (105, 113), (124, 134), (141, 156), (106, 157)]"
../Dataset/RAF/Train/Anger/train_00339.jpg,Anger,5,"[86, 64, 195, 208]","[(167, 114), (117, 110), (141, 142), (159, 168), (114, 165)]"
../Dataset/RAF/Train/Anger/train_07350.jpg,Anger,5,"[401, 357, 777, 850]","[(702, 559), (521, 542), (615, 633), (676, 736), (523, 724)]"
../Dataset/RAF/Train/Anger/train_05314.jpg,Anger,5,"[82, 62, 163, 166]","[(137, 114), (103, 101), (109, 126), (116, 149), (92, 139)]"
../Dataset/RAF/Train/Anger/train_00766.jpg,Anger,5,"[255, 281, 681, 866]","[(637, 502), (439, 492), (585, 588), (619, 725), (455, 719)]"
../Dataset/RAF/Train/Anger/train_08259.jpg,Anger,5,"[273, 236, 552, 578]","[(467, 350), (337, 348), (389, 428), (462, 487), (346, 482)]"
../Dataset/RAF/Train/Anger/train_04433.jpg,Anger,5,"[44, 34, 93, 100]","[(78, 57), (56, 58), (67, 72), (77, 83), (59, 83)]"
../Dataset/RAF/Train/Anger/train_00662.jpg,Anger,5,"[108, 110, 230, 295]","[(215, 178), (164, 175), (210, 202), (214, 245), (172, 245)]"
../Dataset/RAF/Train/Anger/train_05698.jpg,Anger,5,"[67, 65, 148, 173]","[(130, 111), (94, 98), (106, 117), (111, 150), (84, 141)]"
../Dataset/RAF/Train/Anger/train_02764.jpg,Anger,5,"[454, 403, 864, 966]","[(753, 604), (559, 609), (664, 679), (745, 810), (574, 809)]"
../Dataset/RAF/Train/Anger/train_06782.jpg,Anger,5,"[457, 361, 945, 963]","[(787, 589), (547, 609), (640, 722), (763, 845), (575, 855)]"
../Dataset/RAF/Train/Anger/train_04079.jpg,Anger,5,"[640, 558, 1243, 1402]","[(1090, 873), (839, 891), (984, 1046), (1105, 1179), (856, 1193)]"
../Dataset/RAF/Train/Anger/train_06009.jpg,Anger,5,"[172, 138, 338, 357]","[(282, 221), (207, 219), (235, 255), (265, 305), (213, 303)]"
../Dataset/RAF/Train/Anger/train_00578.jpg,Anger,5,"[50, 48, 115, 132]","[(107, 85), (78, 85), (98, 107), (99, 115), (78, 116)]"
../Dataset/RAF/Train/Anger/train_05433.jpg,Anger,5,"[94, 84, 211, 253]","[(184, 142), (128, 139), (156, 166), (179, 206), (129, 203)]"
../Dataset/RAF/Train/Anger/train_00143.jpg,Anger,5,"[364, 269, 1003, 1131]","[(847, 573), (533, 579), (699, 759), (814, 924), (593, 931)]"
../Dataset/RAF/Train/Anger/train_04389.jpg,Anger,5,"[146, 117, 291, 329]","[(250, 198), (182, 188), (196, 219), (230, 273), (170, 265)]"
../Dataset/RAF/Train/Anger/train_06835.jpg,Anger,5,"[67, 64, 145, 170]","[(127, 100), (92, 96), (112, 119), (120, 144), (93, 140)]"
../Dataset/RAF/Train/Anger/train_04579.jpg,Anger,5,"[93, 83, 177, 196]","[(161, 127), (119, 128), (142, 155), (156, 170), (120, 170)]"
../Dataset/RAF/Train/Anger/train_04159.jpg,Anger,5,"[275, 225, 562, 627]","[(492, 385), (357, 383), (424, 456), (475, 537), (369, 533)]"
../Dataset/RAF/Train/Anger/train_01298.jpg,Anger,5,"[46, 40, 94, 98]","[(83, 62), (58, 59), (68, 74), (76, 84), (56, 81)]"
../Dataset/RAF/Train/Anger/train_04910.jpg,Anger,5,"[103, 93, 201, 213]","[(175, 139), (129, 140), (149, 166), (167, 189), (134, 189)]"
